2017-11-04 20:24:14,325 | INFO  | onfig-2-thread-2 | ServerConnector                  | 190 - org.eclipse.jetty.util - 9.2.19.v20160908 | Stopped default@51072946{HTTP/1.1}{0.0.0.0:8181}
2017-11-04 20:24:14,329 | INFO  | FelixStartLevel  | Activator                        | 213 - org.ops4j.pax.web.pax-web-runtime - 4.3.0 | Pax Web stopped
2017-11-04 20:24:14,341 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Unregistering commands for bundle org.apache.karaf.shell.commands/4.0.9
2017-11-04 20:24:14,341 | INFO  | pool-25-thread-3 | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Unregistering commands for bundle org.apache.karaf.web.core/4.0.9
2017-11-04 20:24:14,353 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Unregistering commands for bundle org.apache.karaf.system.core/4.0.9
2017-11-04 20:24:14,355 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Unregistering commands for bundle org.apache.karaf.shell.ssh/4.0.9
2017-11-04 20:24:14,376 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Unregistering commands for bundle org.apache.karaf.jaas.command/4.0.9
2017-11-04 20:24:14,376 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Unregistering commands for bundle org.apache.karaf.http.core/4.0.9
2017-11-04 20:24:14,376 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Unregistering commands for bundle org.apache.karaf.instance.core/4.0.9
2017-11-04 20:24:14,376 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Unregistering commands for bundle org.apache.karaf.config.core/4.0.9
2017-11-04 20:24:14,378 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Unregistering commands for bundle org.apache.karaf.features.command/4.0.9
2017-11-04 20:24:14,379 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Unregistering commands for bundle org.apache.karaf.bundle.core/4.0.9
2017-11-04 20:24:14,380 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Unregistering commands for bundle org.apache.karaf.kar.core/4.0.9
2017-11-04 20:24:14,380 | INFO  | FelixStartLevel  | CommandExtension                 | 124 - org.apache.karaf.shell.core - 4.0.9 | Unregistering commands for bundle org.apache.karaf.deployer.kar/4.0.9
